time [s],concentration of A [mol/m3],concentration of B [mol/m3],concentration of R [mol/m3],concentration of S [mol/m3],concentration of T [mol/m3],rate of reaction of A [mol/m3·s],rate of reaction of B [mol/m3·s],rate of reaction of R [mol/m3·s],rate of reaction of S [mol/m3·s],rate of reaction of T [mol/m3·s],reactor temperature [K],jacket temperature [K],reactor setpoint temperature,volume of reaction mixture [m3],viscosity of the reaction mixture [Pa·s],shaft power of the impeller [W],heat released by reaction [W],cumulative_heat_released [J],heat removed by cooling water [W],cumulative heat removed by cooling water [J],conversion [-],cooling water flowrate [m3/s],stage
500.0,-0.7476551251100911,2.5741960467849467,9.622077031856398,6.775052821142995,-10.175135568615817,0.0,0.0,0.0,0.0,0.0,303.0019921538346,288.26558130130945,273,0.15000000000000002,0.9764935699660635,3295.3173459487116,0.0,0.0,0.0,0.0,-5.339905074886337,6.876492332578547e-07,0
550.0,-0.08499569200679291,3.2620806036514107,-6.492061338892477,-3.2845326483394,5.865841227507925,0.0,0.0,0.0,0.0,0.0,297.98562762073925,286.9475445207551,273,0.165,1.014434710199855,3306.4101275342427,0.0,0.0,-0.0,0.0,0.2792604491034615,-8.015341453206746e-07,0
600.0,-6.860995805907972,-0.1364935054478491,1.7536074391829393,-5.703374411155478,0.2085381639964235,0.0,0.0,0.0,0.0,0.0,301.00054606604107,290.6089162035291,273,0.18,1.1307016929840175,3338.5028936529275,0.0,0.0,-0.0,0.0,-57.17931378754984,-1.2698061798448455e-06,0
650.0,1.4102365218048631,3.427543692267352,-4.48795530121985,4.433231237178827,6.002511810946551,0.0,0.0,0.0,0.0,0.0,302.60465662808525,289.1606695138459,273,0.19499999999999995,0.968959324490986,3293.073878761909,0.0,0.0,-0.0,0.0,12.958408872090848,-9.636812121970733e-08,0
700.0,-4.038248949064091,0.9403117315452868,-5.155320555725429,1.6604140170623471,0.788739471649688,0.0,0.0,0.0,0.0,0.0,298.8312522569611,291.3300280716823,273,0.21,0.9798174765189206,3296.302706143749,0.0,0.0,0.0,0.0,-33.24321474698106,1.3677079991925392e-06,0
750.0,-7.303490771735931,-1.6276534709778756,-0.5380277077273139,4.572631986439097,3.2084703637980176,0.0,0.0,0.0,0.0,0.0,301.81913858580725,290.1336965392987,273,0.22499999999999995,0.9386300963294575,3283.8984072086996,0.0,0.0,-0.0,0.0,-60.93154658211704,-8.402928875348623e-09,0
800.0,1.103162569052749,3.1652938704680644,7.395193880611391,-6.922953945164329,-3.573783783512154,0.0,0.0,0.0,0.0,0.0,299.00488431327204,291.0402982722577,273,0.2399999999999999,0.9861129127060518,3298.1616815589227,0.0,0.0,0.0,0.0,10.354508161677247,7.584190623293137e-07,0
850.0,-3.283791156561135,-0.5855249277279918,1.8734433047606527,-3.449331372362892,-2.33807993505251,0.0,0.0,0.0,0.0,0.0,296.29378758709163,288.70826414111514,273,0.25499999999999995,0.8913769085886092,3269.1105617127587,0.0,0.0,0.0,0.0,-26.84562496683649,1.6565873722684547e-06,0
900.0,3.6219597460828314,-4.245714995112918,4.50973701035498,-2.42181810388118,7.090655457220214,0.0,0.0,0.0,0.0,0.0,297.3916094588722,289.58979666311814,273,0.2699999999999999,0.9197795914835554,3278.0738556923116,0.0,0.0,0.0,0.0,31.713199447196086,9.163110765389112e-08,0
950.0,4.062935577348025,2.3459393310616132,3.6858192468099187,0.5024001036166665,-1.1859694531196754,0.0,0.0,0.0,0.0,0.0,297.26357374718174,288.2716883985828,273,0.285,1.00408688952364,3303.41779580804,0.0,0.0,-0.0,0.0,35.45255040814717,-1.6881828926774222e-06,0
